   57																																																									
M2SA3    	0.13594	0.13093	0.12372	0.11985	0.11927	0.11912	0.16615	0.17767	0.17421	0.15260	0.15429	0.15898	0.12776	0.12114	0.13196	0.14466	0.14883	0.14251	0.31946	1.34124	1.33690	0.13930	0.13879	0.13656	0.13397	0.13537	0.13336	0.15420	0.16969	0.15405	0.10531	0.09447	0.00000	0.10819	0.10090	0.17285	0.17040	0.16686	0.15610	0.15849	0.15068	0.13277	0.10928	0.13574	0.11752	0.11589	0.12821	0.16417	0.11589	0.16459	0.10291	0.11078	0.16016	0.13424	0.16575	0.14172	0.12681
MBSA1    	0.11029	0.11346	0.10984	0.07536	0.07214	0.08335	0.15886	0.17403	0.17322	0.12422	0.13244	0.12926	0.10160	0.08964	0.09472	0.11921	0.12546	0.11833	0.30354	1.34642	1.33978	0.08441	0.08519	0.08369	0.13361	0.12958	0.13082	0.15380	0.16953	0.15106	0.07034	0.05944	0.10819	0.00000	0.04141	0.17303	0.17130	0.16618	0.12873	0.12772	0.11859	0.08903	0.07851	0.11219	0.07059	0.07810	0.09370	0.16419	0.07908	0.16272	0.08455	0.09206	0.16923	0.14419	0.17443	0.14785	0.13275
MBSA2    	0.10582	0.10911	0.10909	0.07343	0.07604	0.08125	0.15753	0.17142	0.17597	0.11496	0.12137	0.12313	0.10004	0.08924	0.08726	0.11352	0.11930	0.11171	0.30680	1.34350	1.32536	0.08534	0.08554	0.08400	0.12503	0.12331	0.12492	0.14378	0.16933	0.14727	0.06138	0.05495	0.10090	0.04141	0.00000	0.16570	0.16551	0.15809	0.12178	0.12299	0.11346	0.08837	0.07265	0.10588	0.06732	0.07157	0.08887	0.16135	0.09081	0.15946	0.07837	0.07898	0.16018	0.14072	0.16987	0.14567	0.12459
PBSA1    	0.12541	0.15538	0.14233	0.17978	0.17506	0.17275	0.15746	0.17053	0.16682	0.16857	0.17391	0.17298	0.18644	0.17241	0.18385	0.17338	0.17647	0.16978	0.31350	1.34537	1.32281	0.19085	0.18933	0.18314	0.18622	0.17530	0.16698	0.15430	0.17519	0.14323	0.16587	0.16093	0.17285	0.17303	0.16570	0.00000	0.00235	0.00377	0.17255	0.16994	0.16655	0.19102	0.15053	0.19268	0.17075	0.15216	0.17877	0.06193	0.05624	0.07123	0.12972	0.14022	0.16269	0.14139	0.17420	0.19496	0.17410
PBSA2    	0.12802	0.15426	0.14129	0.17868	0.17463	0.17188	0.15698	0.17199	0.16617	0.16786	0.17477	0.17345	0.18599	0.17179	0.18363	0.17183	0.17685	0.16904	0.30978	1.33731	1.31588	0.18907	0.18738	0.18506	0.18338	0.17622	0.16865	0.15388	0.17316	0.14302	0.16305	0.15907	0.17040	0.17130	0.16551	0.00235	0.00000	0.00295	0.17284	0.17058	0.16254	0.18703	0.14836	0.19251	0.16794	0.15091	0.17752	0.05958	0.05472	0.06918	0.13179	0.14964	0.16179	0.14098	0.17131	0.19537	0.17349
PBSA3    	0.12190	0.14497	0.13100	0.17329	0.16785	0.16513	0.15378	0.16779	0.16442	0.16252	0.16718	0.16703	0.17733	0.16501	0.17756	0.16640	0.16973	0.16367	0.30951	1.35200	1.32718	0.18029	0.17999	0.17885	0.17580	0.17117	0.16325	0.14986	0.16987	0.13955	0.16035	0.14858	0.16686	0.16618	0.15809	0.00377	0.00295	0.00000	0.16617	0.16460	0.16109	0.18243	0.14854	0.18807	0.16303	0.14660	0.17049	0.05468	0.05321	0.06820	0.13137	0.14631	0.15738	0.13918	0.16981	0.18736	0.16555
SBSA1    	0.14105	0.13515	0.13978	0.13152	0.12424	0.12451	0.19381	0.20434	0.20839	0.02403	0.02107	0.02097	0.11876	0.11301	0.12270	0.04981	0.05173	0.05216	0.31835	1.32886	1.31756	0.13842	0.13913	0.13528	0.17002	0.16952	0.15989	0.18750	0.20839	0.18660	0.12404	0.12160	0.15610	0.12873	0.12178	0.17255	0.17284	0.16617	0.00000	0.00281	0.00323	0.14497	0.12106	0.16853	0.12188	0.12953	0.14102	0.16512	0.11965	0.16853	0.13734	0.14165	0.19692	0.17415	0.20749	0.18668	0.15824
SBSA2    	0.13952	0.13810	0.14024	0.13082	0.12416	0.12364	0.19184	0.20126	0.20348	0.02187	0.02303	0.01865	0.12139	0.11142	0.12179	0.04713	0.04725	0.05024	0.31493	1.33402	1.32116	0.13599	0.13659	0.13195	0.16940	0.16457	0.15757	0.18541	0.20313	0.18219	0.12272	0.12114	0.15849	0.12772	0.12299	0.16994	0.17058	0.16460	0.00281	0.00000	0.00212	0.14228	0.11748	0.16624	0.12097	0.12760	0.13903	0.16403	0.11618	0.16529	0.13560	0.13865	0.19334	0.17180	0.20343	0.18274	0.15536
SBSA3    	0.13202	0.12917	0.13048	0.12422	0.11559	0.11463	0.17836	0.19099	0.19343	0.02052	0.02198	0.01855	0.11640	0.10579	0.11518	0.04399	0.04669	0.04602	0.31031	1.33225	1.31662	0.12840	0.12834	0.12678	0.15820	0.16028	0.14958	0.17752	0.19413	0.17152	0.11844	0.11378	0.15068	0.11859	0.11346	0.16655	0.16254	0.16109	0.00323	0.00212	0.00000	0.13211	0.11601	0.15969	0.11241	0.12183	0.13160	0.15781	0.10991	0.15920	0.12607	0.13080	0.18244	0.16337	0.19300	0.17409	0.14573
SSSA1    	0.11801	0.11924	0.11898	0.09244	0.08530	0.09356	0.16900	0.19040	0.19084	0.13239	0.14091	0.14065	0.11509	0.10483	0.10249	0.12884	0.13424	0.12876	0.31467	1.32303	1.31994	0.04698	0.04777	0.04673	0.14201	0.14284	0.14107	0.16371	0.18225	0.16716	0.09385	0.08789	0.13277	0.08903	0.08837	0.19102	0.18703	0.18243	0.14497	0.14228	0.13211	0.00000	0.09062	0.13547	0.07728	0.08070	0.09679	0.18002	0.11870	0.18090	0.10062	0.10297	0.17897	0.16206	0.19013	0.15641	0.13663
